Starting negotiation session.
Round 1
  Turn 1: Party 1       (Offer: Bid[Study: WB, Faculty: TPM, Job Prospect: CEO, Housing: Cave, Partime Job: Restaurant, ])
  Turn 2: Party 2       (Offer: Bid[Study: WB, Faculty: 3ME, Job Prospect: Developer, Housing: Parents, Partime Job: Fastfood Restaurant, ])
  Turn 3: Party 3       (Offer: Bid[Study: TI, Faculty: EWI, Job Prospect: Manager, Housing: Under the bridge, Partime Job: None, ])
  Turn 4: Party 4       (Offer: Bid[Study: WB, Faculty: TPM, Job Prospect: Engineer, Housing: House, Partime Job: Restaurant, ])
  Turn 5: Party 5       (Offer: Bid[Study: EE, Faculty: 3ME, Job Prospect: Engineer, Housing: Studio, Partime Job: None, ])
  Turn 6: Party 6       (Offer: Bid[Study: EE, Faculty: EWI, Job Prospect: Developer, Housing: Under the bridge, Partime Job: Fastfood Restaurant, ])
  Turn 7: Party 7       (Offer: Bid[Study: TW, Faculty: TPM, Job Prospect: Jobless, Housing: Cave, Partime Job: Supermarket, ])
  Turn 8: Party 8       (Offer: Bid[Study: WB, Faculty: 3ME, Job Prospect: Jobless, Housing: Single Room, Partime Job: Fastfood Restaurant, ])
  Turn 9: Party 9       (Offer: Bid[Study: TBM, Faculty: EWI, Job Prospect: Manager, Housing: Cave, Partime Job: Catering, ])
Round 2
  Turn 1: Party 1       (Offer: Bid[Study: WB, Faculty: TPM, Job Prospect: CEO, Housing: Cave, Partime Job: Restaurant, ])
  Turn 2: Party 2       (Offer: Bid[Study: WB, Faculty: 3ME, Job Prospect: Developer, Housing: Studio, Partime Job: Restaurant, ])
  Turn 3: Party 3       (Offer: Bid[Study: TBM, Faculty: 3ME, Job Prospect: Jobless, Housing: Studio, Partime Job: Fastfood Restaurant, ])
  Turn 4: Party 4       (Offer: Bid[Study: TBM, Faculty: 3ME, Job Prospect: CEO, Housing: Under the bridge, Partime Job: Supermarket, ])
  Turn 5: Party 5       (Offer: Bid[Study: TI, Faculty: EWI, Job Prospect: Developer, Housing: House, Partime Job: Catering, ])
  Turn 6: Party 6       (Offer: Bid[Study: TW, Faculty: EWI, Job Prospect: Developer, Housing: Single Room, Partime Job: Supermarket, ])
  Turn 7: Party 7       (Offer: Bid[Study: TI, Faculty: 3ME, Job Prospect: CEO, Housing: House, Partime Job: Restaurant, ])
  Turn 8: Party 8       (Offer: Bid[Study: EE, Faculty: 3ME, Job Prospect: Developer, Housing: Cave, Partime Job: Fastfood Restaurant, ])
  Turn 9: Party 9       (Offer: Bid[Study: EE, Faculty: EWI, Job Prospect: CEO, Housing: Single Room, Partime Job: Restaurant, ])
Round 3
  Turn 1: Party 1       (Offer: Bid[Study: WB, Faculty: TPM, Job Prospect: CEO, Housing: Cave, Partime Job: Restaurant, ])
  Turn 2: Party 2       (Offer: Bid[Study: TI, Faculty: TPM, Job Prospect: CEO, Housing: Under the bridge, Partime Job: Supermarket, ])
  Turn 3: Party 3       (Offer: Bid[Study: TW, Faculty: EWI, Job Prospect: Manager, Housing: House, Partime Job: Fastfood Restaurant, ])
  Turn 4: Party 4       (Offer: Bid[Study: TI, Faculty: EWI, Job Prospect: Manager, Housing: Under the bridge, Partime Job: None, ])
  Turn 5: Party 5       (Offer: Bid[Study: WB, Faculty: 3ME, Job Prospect: Manager, Housing: Cave, Partime Job: Fastfood Restaurant, ])
  Turn 6: Party 6       (Offer: Bid[Study: TW, Faculty: EWI, Job Prospect: Engineer, Housing: Studio, Partime Job: None, ])
  Turn 7: Party 7       (Offer: Bid[Study: TBM, Faculty: TPM, Job Prospect: CEO, Housing: Parents, Partime Job: Supermarket, ])
  Turn 8: Party 8       (Offer: Bid[Study: WB, Faculty: 3ME, Job Prospect: Engineer, Housing: House, Partime Job: Restaurant, ])
  Turn 9: Party 9       (Offer: Bid[Study: TI, Faculty: 3ME, Job Prospect: CEO, Housing: Under the bridge, Partime Job: Supermarket, ])
Round 4
  Turn 1: Party 1       (Offer: Bid[Study: WB, Faculty: TPM, Job Prospect: CEO, Housing: Cave, Partime Job: Restaurant, ])
